"t","Saham","","",""
"1","6760","","",""
"2","6960","","",""
"3","6945","","",""
"4","7180","","",""
"5","7160","","",""
"6","7290","","",""
"7","7255","","",""
"8","7320","","",""
"9","7525","","",""
"10","7750","","",""
"11","7650","","",""
"12","7525","","",""
"13","7500","","",""
"14","7400","","",""
"15","7525","","",""
"16","7525","","",""
"17","7525","","",""
"18","7450","","",""
"19","7375","","",""
"20","7475","","",""
"21","7400","","",""
"22","7300","","",""
"23","7350","","",""
"24","7375","","",""
"25","7450","","",""
"26","7575","","",""
"27","7675","","",""
"28","7650","","",""
"29","7675","","",""
"30","7525","","",""
"31","7500","","",""
"32","7475","","",""
"33","7575","","",""
"34","7400","","",""
"35","7425","","",""
"36","7475","","",""
"37","7475","","",""
"38","7475","","",""
"39","7425","","",""
"40","7275","","",""
"41","7400","","",""
"42","7275","","",""
"43","7300","","",""
"44","7500","","",""
"45","7375","","",""
"46","7350","","",""
"47","7350","","",""
"48","7425","","",""
"49","7350","","",""
"50","7375","","",""
"51","7300","","",""
"52","7300","","",""
"53","7300","","",""
"54","7275","","",""
"55","7500","","",""
"56","7375","","",""
"57","7375","","",""
"58","7325","","",""
"59","7300","","",""
"60","7300","","",""
"61","7350","","",""
"62","7350","","",""
"63","7300","","",""
"64","7300","","",""
"65","7325","","",""
"66","7400","","",""
"67","7450","","",""
"68","7475","","",""
"69","7650","","",""
"70","7600","","",""
"71","7700","","",""
"72","7700","","",""
"73","7700","","",""
"74","7850","","",""
"75","7750","","",""
"76","7675","","",""
"77","7675","","",""
"78","7775","","",""
"79","7950","","",""
"80","7800","","",""
"81","7775","","",""
"82","7700","","",""
"83","7800","","",""
"84","7775","","",""
"85","7625","","",""
"86","7800","","",""
"87","7725","","",""
"88","7725","","",""
"89","7800","","",""
"90","7725","","",""
"91","7950","","",""
"92","7750","","",""
"93","7825","","",""
"94","7700","","",""
"95","7875","","",""
"96","7975","","",""
"97","7900","","",""
"98","7925","","",""
"99","7950","","",""
"100","7900","","",""
"101","8050","","",""
"102","8000","","",""
"103","8050","","",""
"104","8050","","",""
"105","7975","","",""
"106","7900","","",""
"107","7700","","",""
"108","7650","","",""
"109","7850","","",""
"110","7925","","",""
"111","7950","","",""
"112","8075","","",""
"113","8150","","",""
"114","8200","","",""
"115","8000","","",""
"116","7900","","",""
"117","7900","","",""
"118","7925","","",""
"119","7900","","",""
"120","7925","","",""
"121","7950","","",""
"122","7900","","",""
"123","7850","","",""
"124","7875","","",""
"125","7975","","",""
"126","7925","","",""
"127","7900","","",""
"128","7900","","",""
"129","7750","","",""
"130","7750","","",""
"131","7850","","",""
"132","7725","","",""
"133","7800","","",""
"134","7800","","",""
"135","7700","","",""
"136","7700","","",""
"137","7625","","",""
"138","7650","","",""
"139","7650","","",""
